Predicate,Label,Count,Frequency,,Accumulated Freq
P10668,HuijiWiki article ID,3,0,,"99,94"
P2132,nominal GDP per capita,3,0,,"99,94"
P2219,real GDP growth rate,3,0,,"99,94"
P3000,marriageable age,3,0,,"99,94"
P4202,WFD Chemical status,3,0,,"99,94"
P5679,electrical resistivity,3,0,,"99,94"
P6695,number of sentences,3,0,,"99,94"
P6897,literacy rate,3,0,,"99,94"
P8703,entry in abbreviations table,3,0,,"99,94"
P9744,Steam Greenlight game ID,3,0,,"99,94"
P10119,AllHomes research location ID,2,0,,"99,94"
P10649,number of likes,2,0,,"99,94"
P2231,explosive velocity,2,0,,"99,94"
P2565,global warming potential,2,0,,"99,94"
P4295,readership,2,0,,"99,94"
P4500,family relationship degree,2,0,,"99,94"
P4998,key press,2,0,,"99,94"
P6452,CBFC rating,2,0,,"99,94"
P7781,exonerated of,2,0,,"99,94"
P9107,number of vaccinations,2,0,,"99,94"
P10768,Similarweb ranking,1,0,,"99,94"
P1279,inflation rate,1,0,,"99,94"
P2135,total exports,1,0,,"99,94"
P2215,proper motion,1,0,,"99,94"
P2294,balance of trade,1,0,,"99,94"
P2296,money supply,1,0,,"99,94"
P3087,fiscal/tax revenue,1,0,,"99,94"
P3243,OKVED 1.1 code of the economic activity,1,0,,"99,94"
P3246,OKVED 2 code of the economic activity,1,0,,"99,94"
P3818,KMRB film rating,1,0,,"99,94"
P3834,RTC film rating,1,0,,"99,94"
P4010,GDP (PPP),1,0,,"99,94"
P4092,checksum,1,0,,"99,94"
P5135,greater than,1,0,,"99,94"
P5136,less than,1,0,,"99,94"
P5529,yield strength,1,0,,"99,94"
P5625,Vietnamese reading,1,0,,"99,94"
P6876,solar irradiance,1,0,,"99,94"
P6945,Steam profile ID,1,0,,"99,94"
P873,phase point,1,0,,"99,94"
P8836,SPOnG game ID,1,0,,"99,94"
P8843,poverty incidence,1,0,,"99,94"
P8865,mathematical inverse,1,0,,"99,94"
P9411,USCG MIC,1,0,,"99,94"
P9976,copyright registration,1,0,,"99,94"
,,395604,,,
,,,,,
,,,,,
,,,,Source File,claims-predicate-mandatory_constraints-required_qualifier_violated
